id,title,description,experience_level,type,location,location_code,upload_date,source,source_id,organization,skills,occupations
67,Autocad designer,"The construction company TECHNIKAL AE is looking for:
Autocad + BIM Designer – Architect/Mechanical/Civil Engineer
Main responsibilities:

Create / coordinate plans using Autocad and Revit
Create plan list using Word, Excel
Organization of paper deliveries (prints, sorting, etc.)
Organization of electronic deliveries / creation of an electronic file.

Necessary qualifications:

Excellent knowledge of Autocad and Revit design software
Excellent knowledge of Adobe Acrobat and MS Office
Excellent knowledge of the English language

Previous experience in a metal construction company would be appreciated.",Senior,Full-time,"Acharnes, Greece",EL,2024-09-09,kariera.gr,168837,,"['http://data.europa.eu/esco/skill/4e883275-9f45-4336-8e68-4b58f943c532', 'http://data.europa.eu/esco/skill/8fdf4273-d8ce-47a2-b461-45cb1282ef36', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2']","['http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d', 'http://data.europa.eu/esco/occupation/c11e2b53-06f7-465f-9b5c-708016bc96f4']"
258,TECHNICAL PROJECT MANAGER,"AMCO SA, is looking for a dynamic and skilled Sales Engineer to join our team. The ideal candidate will have the opportunity to work in a dynamic environment, contribute to the development and promotion of innovative IT and technology products and services, and support sales with technical expertise.
Responsibilities:• Develop and maintain information technology plans which outline project status individual tasks, milestones, completion estimates, and resource allocation.• Hold regular technical team meetings to determine progress and address any questions or challenges regarding projects.• Coordinate the roll-out of beta and production releases.• Inspect projects for quality assurance.• Identify the resources needed for the project and source these materials.• Analyze, plan and develop technical requirements and standards in reference to scheduled projects.• Ensure customer satisfaction through post-project debrief with clients.• Oversee the implementation of project improvements. Qualifications:• Bachelor’s degree in computer science or equivalent.• 2+ years of experience in technical project management of ICT projects which include hardware, software and integration with 3rd party software platforms.• Excellent time management and organizational skills and experience establishing guidelines for others.• Strong sense of personal accountability regarding decision-making and supervising technical teams.• Experience working in a high-level collaborative environment and promoting a teamwork mentality.• Managerial experience applying analytical thinking and problem-solving skills.• Ability to predict challenges and seek to proactively head-off obstacles.• Strong written and verbal communication skills in English.
The company offers:• Competitive salary, based on qualifications• Excellent working environment• Prospects of development• Continuous education• Private Health Insurance",Mid-level,Full-time,"Moschato, Greece",EL,2024-09-09,kariera.gr,168606,,"['http://data.europa.eu/esco/skill/1177c6f5-09c5-4c35-873c-afd22d170ad3', 'http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137', 'http://data.europa.eu/esco/skill/4df7a57a-9405-4995-8e02-4ca404832247', 'http://data.europa.eu/esco/skill/54660948-b811-49a9-874c-bf2be5f280a2', 'http://data.europa.eu/esco/skill/94dd823c-148e-4614-a6e8-99249b16357d', 'http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869', 'http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68', 'http://data.europa.eu/esco/skill/d4789070-2ff7-4bbb-94ca-8bb1739826a9', 'http://data.europa.eu/esco/skill/f64fe2c2-d090-4e91-ba74-1355d96b9bca']","['http://data.europa.eu/esco/occupation/2b48a4cd-2333-4abf-ac3e-6f63d6ed3663', 'http://data.europa.eu/esco/occupation/8cb59bc4-1f39-477e-beea-effed12d186c', 'http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5', 'http://data.europa.eu/esco/isco/C1330', 'http://data.europa.eu/esco/occupation/c956be07-53a3-4b01-b8f8-f0c5a428eaa8', 'http://data.europa.eu/esco/isco/C2433']"
275,Frontend Engineer (Angular) Mid-Senior,"Company DescriptionWe are Netcompany-Intrasoft, a member of Netcompany Group A/S, and a leading European IT Solutions and Services company with strong international presence and expertise, dedicated to responsible digitalisation. We offer innovative and added-value solutions of the highest quality to a wide range of public and private organizations, while being a key-player in the EU Institutions for the past 30 years. We hold an outstanding record of 500+ organizations in 70+ countries, that have chosen our solutions and services, to fulfil their business needs. Our team of 3500+ professionals is our driving force and our most valuable asset.Job DescriptionEver wondered what it feels like to be a Front End Developer (Angular) in Netcompany-Intrasoft? As a Front-end Developer, you will be a member of team responsible for designing, developing and testing in order to create software solutions aligned to the needs of the business and external customers. The role requires developed and strong foundation of web-development skills and good knowledge of relevant technologies.As a Frontend Developer you will:Able to take ownership, accountability and initiativeDetail-driven, able to take constructive criticismStrong analytical-thinker and problem-solverCommunicative and team playerQualificationsWhat would make you a fit for the role:University degree in Computer Science or Electrical EngineeringAt least 2 years of Javascript experienceAt least 1 year of Angular (version 2 or greater) development experience, or some other relevant framework (Backbone.js, AngularJS, viewJS, react)Knowledge of the interaction between JavaScript, HTML and CSS.Ability to create, modify, and style elements on a page with ease and can also do this dynamicallyAbility to analyse visual designs into design patternsStrong knowledge in MVC ArchitectureKnowledge of version control softwareExperience consuming RESTful API'sGood command of the English Language (written & verbal)It would also be a plus if you match some of the following:Cross browser experience, working with backwards compatibility with graceful degradationExperience in Bootstrap and responsive web application developmentFamiliarity with backend development, understanding application layersExperience writing RESTful API's and fully understanding the RESTful architecture and goalsA background in design or appreciation of good design and UXExperience with SQL and being comfortable with querying databaseAdditional InformationBeing a part of the Netcompany-Ιntrasoft team, you will be provided with: The opportunity to work in a modern environment & in a hybrid working modelA seamless onboarding experience and a buddy to support you on your first stepsA competitive compensation & benefits packageHealth and life insurance programMeal and commuting allowanceWell-being activities (on premises)Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)A personalized development plan for targeted career growthIf you are looking forward to be part of a diverse environment, and have the opportunity to work alongside well-experienced professionals, on challenging, large-scale projects that directly impact millions of citizens around the globe, then this is the place to be!By joining Netcompany-Intrasoft Athens, you will be part of a vivid team of 2000+ tech enthusiasts. When at the office you will have the chance to work at our brand-new, state-of-the-art, sustainable offices, located in 3 different spots in Athens!Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://netcompany.com/careers/greece/our-values/ #BePartOfSomethingGreat!Please submit your CV in English. All applications will be treated as strictly confidential.We ensure equal opportunities, treatment, and consideration to all candidates. Discrimination based on sex, racial or ethnic origin, religion or belief, disability, age, sexual orientation or marital status, physical or mental disability, or any other factor protected by applicable laws and regulations is prohibited. As part of the Netcompany-Intrasoft culture, we respect human rights and focus on creating a positive workplace, where all employees are valued, and where diversity and inclusion are a vital part of our our everyday working experience.",,Full-time,"Athens, Greece",EL,2024-09-08,kariera.gr,163332,,"['http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26', 'http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/fc4fcb4b-993f-4f2c-b158-c2171ec18ed8']","['http://data.europa.eu/esco/occupation/719f101d-1866-49d3-8d5c-2256f606a8b9', 'http://data.europa.eu/esco/occupation/874a2080-a9b6-46a9-8662-c9b7d4208f73', 'http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d']"
320,Call for Talents - Junior Software Engineers,"Company DescriptionWe are Netcompany-Intrasoft, a member of Netcompany Group A/S, and a leading European IT Solutions and Services company with strong international presence and expertise, dedicated to responsible digitalisation. We offer innovative and added-value solutions of the highest quality to a wide range of public and private organizations, while being a key-player in the EU Institutions for the past 30 years. We hold an outstanding record of 500+ organizations in 70+ countries, that have chosen our solutions and services, to fulfil their business needs. Our team of 3500+ professionals is our driving force and our most valuable asset.Job DescriptionEver wondered what it feels like to be a Junior Software Engineer in Netcompany-Intrasoft? Joining us as a Junior Software Engineer you will become part of agile, highly skilled SW Product Development teams that design, develop, deploy, customize, test, and support web and digital applications for various industries (FinTech / Betting / Insurance / Telecommunications / Utilities / Retail / EU Institutions / Public Sector Digital Transformation). This will be the beginning of your career in one of the following specialties: backend, frontend, full-stack, DevOps, or automation testing SW Engineers.As a Junior Software Engineer you will:Work within an agile team that designs, develops, tests, and maintains web applications by using technologies such as Java, Spring, Spring boot, Microservices Architecture, Angular, React, Docker, Kafka, Kubernetes, Selenium, Cucumber, etc.Perform a full range of complex programming tasks using a variety of web and application-based programming technologies and languages, keeping current with new programming techniquesDevelop and maintain code and application libraries, instructions, and technical documentationCollaborate with team members to understand requirements and propose solutionsParticipate in peer code reviewsBe up to date, learn and gain experience in new technology stacks.QualificationsWhat would make you a fit for the role:Degree in Computer Science, Software Engineering or other relevant disciplinesFamiliarity with at least one of the below (Java, Spring, Spring boot, Microservices Architecture, Angular, React, Docker, Kafka, Kubernetes, Selenium and Cucumber)Excellent command of the English language (written & oral)It would also be a plus if you match some of the following:Knowledge of:web technologies including HTML5, CSS3, JavaScript frameworksdatabase concepts and SQL programmingExperience with Source Control(GIT, Subversion) and Build Tools (Maven).Additional InformationAll newcomers attend a high-quality training by our internal onboarding academy, regarding the Netcompany-Intrasoft culture and digital journey. All sessions are conducted by our tech specialists, who share their knowledge on technologies and methodologies that are used in our projects, ensuring a smooth and enlightening onboarding process.Being a part of the Netcompany-Ιntrasoft team, you will be provided with: The opportunity to work in a modern environment & in a hybrid working modelA seamless onboarding experience and a buddy to support you on your first stepsA competitive compensation & benefits packageHealth and life insurance programMeal and commuting allowanceWell-being activities (on premises)Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)A personalized development plan for targeted career growthIf you are looking forward to be part of a diverse environment, and have the opportunity to work alongside well-experienced professionals, on challenging, large-scale projects that directly impact millions of citizens around the globe, then this is the place to be!Join Netcompany-Intrasoft Patras' branch, and be part of our 150+ tech enthusiasts team!Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://netcompany.com/careers/greece/our-values/ #BePartOfSomethingGreat!Please submit your CV in English. All applications will be treated as strictly confidential.We ensure equal opportunities, treatment, and consideration to all candidates. Discrimination based on sex, racial or ethnic origin, religion or belief, disability, age, sexual orientation or marital status, physical or mental disability, or any other factor protected by applicable laws and regulations is prohibited. As part of the Netcompany-Intrasoft culture, we respect human rights and focus on creating a positive workplace, where all employees are valued, and where diversity and inclusion are a vital part of our our everyday working experience.",,Full-time,"Patra, Greece",EL,2024-09-07,kariera.gr,163204,,"['http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306', 'http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389', 'http://data.europa.eu/esco/skill/1ffac4ac-fda7-407d-8ed1-ca8f4a8dc146', 'http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/3993c87c-7719-4186-811b-8ddfb40e76be', 'http://data.europa.eu/esco/skill/484df271-bb52-49f1-8f50-f19624bf4df2', 'http://data.europa.eu/esco/skill/7557f0f4-b8bc-4ac0-b91e-222ab1ba744f', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363', 'http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221', 'http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4']","['http://data.europa.eu/esco/occupation/57af9090-55b4-4911-b2d0-86db01c00b02', 'http://data.europa.eu/esco/occupation/719f101d-1866-49d3-8d5c-2256f606a8b9', 'http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c', 'http://data.europa.eu/esco/occupation/a9c7a04d-807a-41b5-b441-87c73c73c9c5', 'http://data.europa.eu/esco/occupation/c52129d9-4656-4ce8-ba13-8a72a51d5400', 'http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b']"
364,Software Engineer - C# .NET or ASP.NET (e-Health Sector) Thessaloniki,"About Sigmasoft S.A. 
Sigmasoft S.A. is an innovative software development company providing state-of-the-art software solutions and services for the e-Health &  e-Government Sector.
What You Will Be Doing
You will be working with our team of talented software engineers to create innovative digital Health and medical software systems.
Experience You Will Need to Succeed

BSc in Computer Science or related field
Knowledge of using .NET WinForms Framework
Knowledge of C#
Knowledge of SOAP/Rest APIs
Knowledge of Microsoft SQL Server
Familiarity with Entity Framework will be considered as a plus
Knowledge of LINQ will be considered as a plus
Knowledge of DevExpress controls will be considered as a plus
Knowledge of Multithreading/Asynchronous programming will be considered as a plus

Personal skills we are looking for

Excellent communication skills
Excellent analytical, problem solving and troubleshooting abilities
Solid organizational skills and focus on accuracy and attention to detail
Able to work independently or as part of a team
Detail oriented, maintaining the highest quality work standards
Enjoy working within agile/scrum-based team
Great energy level and enjoy working in full software development lifecycle, from concept and design to testing.",Mid-level,Full-time,"Thessaloniki, Greece",EL,2024-09-07,kariera.gr,165953,,"['http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a', 'http://data.europa.eu/esco/skill/b21e2984-c6b2-4352-bbe8-8f3b03bd50f6', 'http://data.europa.eu/esco/skill/c062bab3-3ea0-4291-9220-a2d8fef4bead', 'http://data.europa.eu/esco/skill/c7d24594-0c11-4b27-9039-fe0bb903da8e']",[]
365,Software Engineer - C# .NET or ASP.NET (e-Health Sector) Athens,"About Sigmasoft S.A. 
Sigmasoft S.A. is an innovative software development company providing state-of-the-art software solutions and services for the e-Health &  e-Government Sector.
What You Will Be Doing
You will be working with our team of talented software engineers to create innovative digital Health and medical software systems.
Experience You Will Need to Succeed

BSc in Computer Science or related field
Knowledge of using .NET WinForms Framework
Knowledge of C#
Knowledge of SOAP/Rest APIs
Knowledge of Microsoft SQL Server
Familiarity with Entity Framework will be considered as a plus
Knowledge of LINQ will be considered as a plus
Knowledge of DevExpress controls will be considered as a plus
Knowledge of Multithreading/Asynchronous programming will be considered as a plus

Personal skills we are looking for

Excellent communication skills
Excellent analytical, problem solving and troubleshooting abilities
Solid organizational skills and focus on accuracy and attention to detail
Able to work independently or as part of a team
Detail oriented, maintaining the highest quality work standards
Enjoy working within agile/scrum-based team
Great energy level and enjoy working in full software development lifecycle, from concept and design to testing.",Mid-level,Full-time,"Athens, Greece",EL,2024-09-07,kariera.gr,165954,,"['http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a', 'http://data.europa.eu/esco/skill/b21e2984-c6b2-4352-bbe8-8f3b03bd50f6', 'http://data.europa.eu/esco/skill/c062bab3-3ea0-4291-9220-a2d8fef4bead', 'http://data.europa.eu/esco/skill/c7d24594-0c11-4b27-9039-fe0bb903da8e']",[]
428,B2B Sales Consultant - Sales Engineer,"Airblock, one of the largest companies specializing in compressed air and automation, is looking for (1) a person to fill the position of B2B Sales Engineer - Consultant
Necessary qualifications:
· Holder of a degree in technological direction (AEI, TEI)
· Relevant experience of at least 3 years
· Good knowledge of ERP software (Softone, Epsilonet, etc.)
· Good knowledge of PC and Windows and MS-Office applications (Word, Excel, Outlook)
· Good knowledge of written & spoken English
· Responsibility and reliability
· Teamwork & collaboration
· Excellent organizational and time management skills
 
Responsibilities:
· Offering integrated solutions according to the client's needs
· Investigation of the needs and advisory support of the customers
· Creation and Follow up of offers
· Close and manage deals
· Continuous monitoring of the market and competition and identification of new cooperation opportunities
The company offers:
· Salary commensurate with qualifications and private insurance
· Conditions that enhance knowledge and provide significant opportunities
· Ongoing training and coaching
· A particularly modern and pleasant working environment
· Possibility of professional development and growth",Mid-level,Full-time,"Thessaloniki, Greece",EL,2024-09-07,kariera.gr,168432,,"['http://data.europa.eu/esco/skill/81824871-4923-4618-85d5-dfd137568c37', 'http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/f4a6e9f7-5cff-46c0-894c-59c20bb78694']","['http://data.europa.eu/esco/occupation/2082e125-d06b-43e6-957f-b7aa3c48dc2f', 'http://data.europa.eu/esco/occupation/3ac7fbb4-91b2-4d4d-abc8-7a6c55ed648f', 'http://data.europa.eu/esco/isco/C2']"
487,TECHNICAL DEPARTMENT ENGINEER,"I. Object                                                                                                                                 
Support for the construction of luxury residential projects on the islands of Paros and Antiparos
II. Main role characteristics                                                                                                
Support and management of all production processes of technical projects, with an emphasis on luxury homes and hotels.
Skills and personal characteristics

Concept of coordination and management of all production processes of building projects
More than three years of experience in the management of technical projects/projects
Knowledge of workshop construction specialties
Conception of project contracts (agreements) and technical project specifications
Knowledge of Autocad, Sketchup or Rhino, Photoshop, etc.
Very good knowledge (written and spoken) of the English language.
Very good knowledge of MS Office (excel, word).
Knowledge of or desire to learn time planning software (eg MS Project or similar).
Desire for professional development
Knowledge of additional foreign languages ​​with priority in French
IT literacy
Good organization of personal time and priorities, initiatives, unsupervised work
Ability to travel (approximately 10% of employment time)
Good communication (colleagues, partners and clients)

III. Additional clarifications                                                                                                          
Job Type: Full-time and full-time job based in Paros, with time allocation according to workload. Indicatively, approximately 20% construction sites and 80% office are mentioned, while all the necessary services for the supervision of the projects are available from the company.
Send Resumes: cv.constructionparos@gmail.com",Mid-level,Full-time,"Paros, Greece",EL,2024-09-06,kariera.gr,168368,,"['http://data.europa.eu/esco/skill/12c7b323-d870-4f5b-9d7d-d9f525206d77', 'http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0', 'http://data.europa.eu/esco/skill/21fecc8a-392e-49ce-ac26-fb0696ccfead', 'http://data.europa.eu/esco/skill/91be6910-bd67-4e1f-95b0-32513b399b24', 'http://data.europa.eu/esco/skill/9f8ace7a-46e0-4c00-a51c-a0ba9babe9de', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34', 'http://data.europa.eu/esco/occupation/4588cd69-e6a5-4668-94c7-f02a3d86a649', 'http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5', 'http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5', 'http://data.europa.eu/esco/isco/C1321', 'http://data.europa.eu/esco/isco/C2']"
488,WORKSHOP ENGINEER,"Site Engineer (Construction)
I. Objective                                                                                                                                  
Monitoring/Support of construction projects of the company, on the Islands of Paros and Antiparos
II. Main role characteristics                                                                                                
Support and management of all production processes of technical projects, with an emphasis on luxury homes and hotels.
Skills and personal characteristics

Concept of coordination and management of all production processes of building projects
More than ten years of experience in the management of technical projects/projects
Construction crew management and order coordination
Conception of project contracts (agreements) and technical project specifications
Knowledge of Autocad, Sketchup or Rhino, Photoshop, etc
Very good knowledge (written and spoken) of the English language.
Very good knowledge of MS Office (excel, word).
Knowledge of or desire to learn time planning software (eg MS Project or similar).
Desire for professional development
Knowledge of additional foreign languages ​​with priority in French.
IT literacy, Familiarity with electronic project monitoring tools.
Good organization of personal time and priorities, initiatives, unsupervised work
Ability to travel if required (approximately 10% of employment time)
Good communication (colleagues, partners and clients)

III. Additional clarifications                                                                                                          
Job Type: Full-time and exclusive job based in N. Paro, with time allocation according to the load, between the office and construction sites.
Send Resumes: cv.constructionparos@gmail.com",Mid-level,Full-time,"Paros, Greece",EL,2024-09-06,kariera.gr,168367,,"['http://data.europa.eu/esco/skill/088dd17a-9d92-4b93-9e4a-49587e015e06', 'http://data.europa.eu/esco/skill/12c7b323-d870-4f5b-9d7d-d9f525206d77', 'http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0', 'http://data.europa.eu/esco/skill/21fecc8a-392e-49ce-ac26-fb0696ccfead', 'http://data.europa.eu/esco/skill/32abc65b-333e-4af8-88df-ae2938018fb9', 'http://data.europa.eu/esco/skill/91be6910-bd67-4e1f-95b0-32513b399b24', 'http://data.europa.eu/esco/skill/9f8ace7a-46e0-4c00-a51c-a0ba9babe9de', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/4588cd69-e6a5-4668-94c7-f02a3d86a649', 'http://data.europa.eu/esco/occupation/ba3bacd4-73e9-4861-a9c0-f89f1f28055a', 'http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5', 'http://data.europa.eu/esco/isco/C1321', 'http://data.europa.eu/esco/isco/C2', 'http://data.europa.eu/esco/isco/C214']"
539,"Senior Associate, Software Engineering","Role Summary
Pfizer's purpose is to deliver breakthroughs that change patients' lives.In Pfizer Digital Core Solutions, we partner closely with our Pfizer business operations colleagues to efficiently deliver robust supporting technology solutions that enhance their work to achieve the Pfizer purpose. We value our team members' technical skills, but also their passion, teamwork, and growth. Our culture is focused on delivering value through courage, excellence, equity, and joy. Our collective skillset supports all aspects of technology planning, project execution and application development excellence.We are looking for Software Engineer (SE) candidates who are aligned with our culture and values, and with academic and/or work experience in software development projects that include both backend and frontend development using Java and Javascript-based technologies for multi-tiered, RDBMS-based web applications.The Software Engineer plays a key role in meeting our mission. The SE analyzes specifications, designs logic, writes code, customizes products, unit tests, debugs, and documents software applications. The SE participates in agile team events and works within the agile team framework.The SE will work closely with their manager to ensure growth over time, including the selection of project work among hundreds of applications that will expand their skillset to meet personal and organizational goals, to provide fulfilling work, and to advance their careers.
Role Responsibilities

Works within project teams as a contributor to design, prototype, implement and unit test software solutions in support of the project objectives.
Works as a senior developer on small-to-medium size software development projects, which may include accountability for the work of a small number of other junior and/or contract Software Engineers, as well as responsibility for dictating and managing coding standards, coding best practices, source code control approaches, versioning, etc.
Translates logical designs of user/system interfaces into physical designs, considering the target environment, performance requirements and existing systems.
Helps produce detailed design specifications where applicable, and documents all work using required standards, methods, and tools, including prototyping tools, where appropriate.
Conducts reviews of supplied specifications as appropriate.
Defines the integration build and produces a build definition for generation of the software.
Work in a matrix, team environment with Pfizer colleagues as well as vendor partners.
Dedicated to meeting the expectations and requirements of internal and external customers.

Qualifications
Education:

Undergraduate degree in Software Engineering, Information Management, Computer Science, Mathematics, or other scientific or engineering discipline.

Prior Experience:

Minimum of 3 years of experience as a software developer/engineer.

Required Capabilities and Experience:

Facilitation, negotiating and presentation skills.
Experience working in ambiguous situations.
Demonstrated experience and skills in analysis and problem solving.
Demonstrated ability to developing multi-tiered solutions using multiple programming languages and web technologies including Java, TypeScript (Angular), HTML, CSS, SQL, etc.
Demonstrated experience using standard requirements business analysis techniques, including brainstorming, interviewing, requirements sessions, activity diagrams and use cases desired.
Demonstrated experience and/or competencies either informally or formally contributing on various-size teams of technologists, IT professionals or project managers using Agile, Scrum, DevOps, and other approaches for iterative development.
Demonstrated ability to collaborate and work effectively in team settings, frequently in virtual teams with client partner and customer engagement responsibilities.
Demonstrated ability to understand data and integration architectures to manage, transform, and exploit data across the enterprise.
Demonstrated capability to understand security requirements, and using the frameworks and tools the organization has put in place to meet those requirements.
Excellent oral and written communication skills.

Required Aptitude:

Quick to establish trust and respect
Action oriented and energetic
Resourceful and creative
Persistent and determined
Mature and cool under pressure
Easily makes connections
Reads situations quickly
Commitment and follow through

Pfizer is an equal opportunity employer and complies with all applicable equal employment opportunity legislation in each jurisdiction in which it operates.
To apply please visit our website www.pfizercareers.com and search job Senior Associate, Software Engineer with id 4919474.",Mid-level,Full-time,"Thessaloniki, Greece",EL,2024-09-06,kariera.gr,168300,,"['http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4', 'http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26', 'http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2', 'http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91', 'http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389', 'http://data.europa.eu/esco/skill/1b957e3d-0017-42b0-9bfe-49a1cdd31de7', 'http://data.europa.eu/esco/skill/1fcce318-3212-487a-ac07-4941bc85060d', 'http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb', 'http://data.europa.eu/esco/skill/2522a6ce-3202-4ac8-9f5b-b9cb5a3a83a1', 'http://data.europa.eu/esco/skill/33d49d4f-31ec-473f-9b8a-b555aa5116bb', 'http://data.europa.eu/esco/skill/385479b7-5da5-4367-9763-0d15b41bb65b', 'http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2', 'http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742', 'http://data.europa.eu/esco/skill/5b26f08b-88bc-45f0-b901-530d7786466b', 'http://data.europa.eu/esco/skill/5dd96c59-5955-474b-8cf5-e986a5b50f1a', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68', 'http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363', 'http://data.europa.eu/esco/skill/d433c82e-fa7a-492e-a8fd-eee7b39e4c48', 'http://data.europa.eu/esco/skill/e76dd90d-91c4-49c0-bfd0-dfa2c4c90c81', 'http://data.europa.eu/esco/skill/ed1d8bd4-cd2a-4c64-b665-56d70651026c', 'http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4', 'http://data.europa.eu/esco/skill/f37d9f67-2e79-4958-8307-1ce9d6dcc8bd', 'http://data.europa.eu/esco/skill/f5308e60-d763-4ead-be95-88c96fb3e02b', 'http://data.europa.eu/esco/skill/f9b52e2d-56a7-48ca-b04d-2fc6436fcd4f', 'http://data.europa.eu/esco/skill/fd33c66c-70c4-40e6-b87c-5495bd3bf26e']","['http://data.europa.eu/esco/occupation/196a4c75-9591-436f-9677-67252df34c22', 'http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/836f0a96-7546-4003-9fc8-714fc79199d4', 'http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525', 'http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b', 'http://data.europa.eu/esco/occupation/d515e82a-ca9f-4be4-9823-33694dff7304', 'http://data.europa.eu/esco/isco/C1330', 'http://data.europa.eu/esco/isco/C2519']"
